,CANCER,Bcell_general,Memory_Bcell,Naive_Bcell,Plasma_cell,CD4_Tcell,CD8_Tcell,Memory_Tcell,Naive_Tcell,Tcell_general,Cytotoxic_Tcell,Exhausted_Tcell,Immune_checkpoint,Treg,NKcell,Innate_lymphoid_cell,cDC,pDC,Macrophage,Monocyte,Myeloid,Granulocyte,Mast,Erythrocyte,Platelet,Stem,Stroma,Pericyte,Fibroblast,Endothelial,Epithelial,Mesothelial,Adipocyte,Hepatocyte,Pancreatic,Pneumocyte,Apoptosis_pathway,IFNg_pathway,TGFb_pathway,Cytokine,Cell_proliferation,TLS,Genome_integrity,Reference
10_PD1_EDT@On,-0.005244430137681517,-0.016695419719346703,-0.051895339997641364,-0.0007274804819526744,-0.0423928121464031,0.03268956480120323,-0.041372343183158,-0.012585687863625775,-0.0026084136648765518,-0.03594986976654338,-0.0372284282625561,-0.12996422894098875,0.006575299366974492,-0.02197011563505933,-0.022205271938261446,0.006292739640569472,-0.01327342328729421,0.0,-0.057647783223669556,0.05900251460884555,-0.06167089294396142,-0.0016411113627539796,0.022025717492601,-0.02567979954975584,-0.00336692025379177,-0.0016264923853792051,-0.004540468689378712,0.0,-0.04654386619822497,-0.005782321427349775,0.028303247981164122,-0.034537212214354136,-0.029339553662719373,0.006575997355731501,-0.06529598888384985,0.012218665720744473,-0.005135060183430163,0.023525747723131967,-0.005074465976398401,0.00832219871577733,-0.00544889723997034,-0.047600888729694854,-0.025639531493311947,-0.002964525358409076
13_PD1_EDT@On,0.0017310152946272998,-0.10971616957391607,-0.12604304874734565,-0.005556957386022314,0.004668445644616186,0.0012344170916142481,-0.1014282209030608,-0.04952811442688891,-0.01744218465270686,-0.18017811192857133,-0.04433281942859944,-0.04623566116744401,-0.015701931204730332,0.017940811161562896,-0.013385840508200448,0.012743360797922907,0.004666559917263567,0.019389846796552687,-0.045364606764784814,-0.03273854039941443,-0.017186882202344603,0.0022477449641011937,-0.027869525086087494,-0.044518237424799705,-0.002141684462744888,-0.011285131474299579,0.005652255671625087,0.0016643260352415914,-0.024937435731049413,0.0209665365039039,-0.007272079231824605,0.06224313524096656,0.007291750623914859,-0.002778141191883083,0.0063228242333503125,-0.0037889191243862283,-0.008489532355207637,0.12118791395636143,0.00801327202802695,0.013905954647226226,-0.013764360973629696,-0.019299413657459696,-0.004705359318611768,-0.017512994797389547
13_ipiPD1_EDT@On,0.002442704400334431,0.047906354270504554,0.03177274607326225,-0.0034202603253930238,0.032445830292871645,-0.006014879749779834,0.03348837438097663,0.005773532284874686,-0.006326046099532933,0.06649116961916737,0.009133865823103902,0.08098941500706806,0.008717609889232049,-0.01132823825823582,0.00631726705951699,-0.005153692429977057,0.002186131819524785,-0.0013387696984272636,0.019923970600110013,-0.02856122118511847,0.010247834081426765,0.002686248521130414,0.020959722170162395,0.0021183469929818934,-0.0026541640999198355,0.005445241542234083,-0.0018677009563968477,-0.0009718897411218259,-0.0021266424335923996,-0.005238928945089221,-0.003138706507650117,-0.011454225752342253,0.010749703883442952,-0.002407425263721913,-0.013023230335626464,0.0021969021060545013,-0.000811482568086505,-0.03449631297563897,-0.003227823688191628,-0.001660295969665834,0.00750043836630389,0.05363106367502,-0.0038122155952861705,-0.0017596079890687677
17_PD1_EDT@On,0.0,-0.205096973203943,0.015615806993582814,-0.0015095966470707052,0.027459777632526338,0.014729303701473285,-0.02519649491977074,0.016638297140941928,-0.012618870729432395,-0.08226652854154827,-0.00398856927431764,-0.05336843007748106,-0.03434879595613005,-0.011471221289295801,0.0015997951853711763,0.0,0.0039421021038112125,0.0,-0.05346406637131635,-0.0997666293174895,0.03406960955820084,0.002407846604613708,-0.01791972480400477,-0.04421797617363408,-0.004336258690923482,-0.012900792759695264,-0.00485757207393369,-0.014717469395180007,0.011703189773450052,-0.02499082249948852,-0.012889680552811285,-0.05165293031511648,-0.018918860567224215,0.002830907494135466,-0.011256324038285798,-0.031971185285640066,0.006336706618157066,0.007903770324905041,-0.0019263872515618906,0.012845517418313506,0.020386699586856166,-0.015607808201354392,0.006916495328618333,0.0036166255108676104
19_ipiPD1_EDT@On,0.0014563285996136224,0.10176037701505844,0.025064705708554277,0.0,0.025043942300801175,-0.015600181615134455,0.03730415666296441,0.020422372920608632,-0.006081830283732933,0.050280435689852306,0.006132529127879758,0.059654424823411725,0.014289624748149342,-0.008911148508379294,0.004714081354142037,-0.011019877790873543,0.0,-0.000925159151018924,0.03531435939846026,0.03470234591422238,-0.007695548011762694,0.0037587660160915506,0.0029995147631016995,0.006465087537842583,0.0058436435868094985,0.0014710985825402165,0.0011108191334480775,0.004813490723283572,-0.025638079429159782,0.003666061057286422,-0.0022576575185822376,-0.013626582020794809,0.0,-0.0006789690466498079,-0.0015862518006262067,-0.002399507896483768,-0.00863011093281122,-0.04733895200286263,0.003700987732499898,0.003915348048384715,0.007067928144040918,-0.0009211491217633632,-0.0035773301873242747,0.0018436811040024592
1_ipiPD1_EDT@On,-0.0039757396640305274,-0.038978738913475454,-0.125697063656631,0.0064245826345501285,-0.08470632386049419,0.015998010452924163,-0.09905261500633854,-0.01605319171725997,-0.01585378347415417,-0.13334501145990016,-0.008086375661791005,-0.2070664832986128,-0.020328694742179163,0.03369659697415968,-0.016427481437476483,0.02894976196178257,-0.00879150029488386,0.011146644900361696,-0.025604025419464004,0.042613135382393294,-0.010488048128274488,0.003552166234975981,0.022031433204840155,-0.026061939893621135,-0.0028048824727037315,-0.018188575916408028,0.0018181783207030897,-0.0018912978722054486,0.002265306857914256,0.017190186304645805,0.001163504419943557,-0.03525032871286793,0.029609258973237504,0.006332808972258227,-0.018015451042174703,-0.002727032809621696,-0.011664920948210429,0.11133534434761415,0.00715579980847892,-0.009747758484829032,-0.0008535591064510605,-0.06318651077507463,-0.012540058551688186,-0.004572931564367
25_PD1_EDT@On,0.004768763419848061,0.023666289280160804,0.04482711725254162,0.003155690157785079,-0.012009958250962422,0.017987954050472623,0.05753804273547576,0.00982231147336492,-0.013554578747475187,0.10725422833975087,0.013346528525559665,0.10564904482635858,0.0034372373220624406,-0.017193137655073687,0.004162448524092334,-0.009308814292347282,-0.0021412830148413043,-0.008048503211228509,-0.005015904505878206,-0.036760376955458446,0.01838440909700407,-0.007660453773380192,0.046869975720471205,0.017426553293621284,-0.00762725575011082,0.004726231028180114,-0.0021467700985395985,-0.006172101349513497,0.05301715731186526,-0.005318915864493739,0.0036169064881170034,-0.01931769530078674,-0.006172455516211874,-0.0018069495052617044,-0.006264927112311235,0.0070266695162909485,-0.0049083562329937155,-0.04688224824063334,0.0006035874523168079,-0.017596615091857015,0.0022908254478836926,0.0012773437383217618,-0.0021547702475265816,-0.0027148723099909566
27_ipiPD1_EDT@On,-0.0026006111503640134,0.06889497373316218,0.049736104074054925,0.0009654228489535782,0.03734286232881858,-0.007829949524635586,0.029466882679268055,-0.0016841632724436827,-0.009040125456443494,0.05440649012830201,0.004402664097324851,0.061231323686713024,0.009639580982085925,-0.01525807265992851,0.016022192366302677,-0.008068210937845386,0.006681465009047771,-0.0018336166106064815,0.026417621164189612,0.012806317380453349,-0.016164998715777142,-0.000880972280873132,0.013910453750647813,0.013791263686935666,-0.0005980792862094454,0.0003704719211187285,-0.0012484777732143196,0.0011998013523553917,0.0015367715512534037,-0.003108163338141687,0.0035547845245463418,0.008147649951202157,-0.005115401076777337,0.0013265339948124023,0.010596188362687772,0.005365319566010971,0.0030090188602899465,-0.05807912415752083,0.0012188036524992299,-0.013830589392386244,-0.007826791850377799,0.012432522428727905,0.00819149153463013,-0.0023465594723895977
29_PD1_EDT@On,0.004733285559395174,-0.0427485184407317,-0.012664881850604867,0.006355029584709688,-0.0737011805748736,0.0,-0.06639460661974209,-0.013968021007574445,0.1022557094258015,-0.06206028009551455,0.009577696034277465,-0.014295864591648432,0.0,0.03864670120016813,-0.012035740484517755,0.008528231873279406,-0.004108541055565955,0.001234373250516293,-0.005611272716055811,0.015200511122329338,0.020741494198329512,0.0054911649888883364,-0.06937328193084476,0.04519336036030564,0.0,0.00840211882828871,0.0,0.0,0.06187363439564823,0.0028248092906483866,0.023756314440687622,0.18755299478366264,-0.007762226029979249,0.0026757922312290808,0.06990147681413497,0.0,-0.011251561679305994,0.07266021115748883,0.004216391937628091,-0.00829779255094759,-0.012369510772664983,0.0,-0.0063350359051411115,-0.003497899100966151
33_ipiPD1_EDT@On,-0.004164928958045856,0.0416614068095376,0.05775701834132818,0.004163824755199738,0.03817477795928022,-0.007473019670063315,0.0520923714886337,0.016598721446098204,-0.003917354065314021,0.08046755791449663,0.015090002337898305,0.056059099094067685,0.019699870789024927,-0.004884636388940166,0.01010069461696912,-0.007353164970407512,0.0018327481037195266,-0.004205181366095535,0.020628543361210772,-0.06694624491929517,0.023312406974356097,-0.0008176190581314553,0.02735706922835532,0.014646762964856131,0.005767924015976682,-0.0015757478838719235,-0.005461589058739538,-0.0037797456738838356,0.050924466327196376,-0.010429144543936248,-0.0019159726576776148,-0.04729687077771848,0.0,0.0029028710304920685,-0.016632116858247416,0.005704431849846181,0.0054158693742574334,-0.06353530794492018,-0.007315500713945225,0.005595493947153921,-0.014055160480782838,0.023169457562539856,0.004024134453338072,-0.0011590470298659672
